AGE,GENDER,SCHOOL_SECTION,PERSONAL_SMARTPHONE,OTT_SUBSCRIPTION,TELEVISION_SCREEN_TIME,TELEVISION_CONTENT,SOCIAL_MEDIA_PLATFORM,PHONE_SCREEN_TIME,SOCIAL_MEDIA_CONTENT,MOBILE_GAMES,SLEEPING_TIME,WAKEUP_TIME,OUTDOOR_SPORTS,SLEEP_ISSUES,DISTRACTION_DURING_SLEEPING,EYES_STRAINED,SPECTACLES,SPECTACLE_NUMBER,RESTLESS,DISTRACTION_DURING_SEARCHING,CONCENTRATION,DEPRESSED,ANXIETY,BEHAVIOURAL_CHANGES,REPLICATE_SOCIAL_MEDIA,
6,Male,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Snapchat",Less than 1 hour,Entertainment,Racing,Between 10pm and 12am,After 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
10,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
6,Male,Primary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Sports",Youtube,1 to 3 hours,Negative,Others,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,No,No,No spectacle,Low,High,High,Low,Low,Low,Low,
8,Female,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Snapchat, Tiktok",1 to 3 hours,"Entertainment, Educational",Puzzles,Between 10pm and 12am,By 8am,Moderate,Moderate,Low,No,No,No spectacle,Moderate,High,Moderate,Low,Moderate,Low,Moderate,
7,Male,Primary_section,No,No,Less than 1 hour,Cartoon,Youtube,Less than 1 hour,Entertainment,Racing,Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
15,Female,Higher_secondary_section,Yes,Yes,Between 3 hours & 5 hours,"Movies, Sports, Others","Youtube, Instagram, Snapchat, Others",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Action,Between 10pm and 12am,After 10am,Low,Moderate,Moderate,Yes,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,
11,Female,Secondary_section,Yes,No,Between 1 hour & 3 hours,"Cartoon, Movies, Others","Facebook, Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,High,Moderate,Yes,Yes,Less than 1,Moderate,High,Moderate,Moderate,Moderate,High,Low,
10,Male,Secondary_section,No,No,Less than 1 hour,"Cartoon, Movies",Youtube,1 to 3 hours,"Entertainment, Educational",Puzzles,Before 10pm,By 8am,Moderate,Low,Low,Yes,Yes,Less than 1,Low,Low,Low,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, Others","Youtube, Instagram",More than 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Others",After midnight 12am,After 10am,Low,High,Moderate,Yes,Yes,Between 3 and 5,High,High,High,High,High,Moderate,Moderate,
13,Male,Higher_secondary_section,Yes,No,Between 3 hours & 5 hours,"Movies, Sports","Instagram, Snapchat",3 to 5 hours,"Entertainment, Casual_scrolling","Action, Racing",After midnight 12am,Between 8am and 10am,Low,High,High,Yes,Yes,Between 1 and 3,High,High,High,Moderate,Moderate,High,High,
14,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Puzzles, Others",Between 10pm and 12am,After 10am,Low,Moderate,Moderate,Yes,No,No spectacle,Low,Moderate,Moderate,Moderate,Low,Low,Low,
7,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Sports","Youtube, Snapchat",Less than 1 hour,Entertainment,"Action, Racing",Between 10pm and 12am,Between 8am and 10am,High,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Moderate,Moderate,
15,Female,Higher_secondary_section,Yes,Yes,More than 5 hours,"Movies, Others","Instagram, Snapchat, Tiktok",More than 5 hours,"Negative, Casual_scrolling",Others,After midnight 12am,Between 8am and 10am,Low,Moderate,Moderate,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,
8,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat",1 to 3 hours,Entertainment,"Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,Yes,Yes,Between 1 and 3,Low,Moderate,Moderate,Low,Low,Low,Low,
8,Male,Primary_section,No,No,Less than 1 hour,Cartoon,Youtube,Less than 1 hour,Educational,Others,Before 10pm,By 8am,Low,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
10,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
12,Female,Secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Tiktok",3 to 5 hours,"Entertainment, Negative",Action,After midnight 12am,Between 8am and 10am,Moderate,High,Moderate,Yes,Yes,Between 1 and 3,High,Moderate,High,Moderate,Moderate,High,Moderate,
9,Female,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies",Youtube,1 to 3 hours,"Entertainment, Educational",Others,Before 10pm,By 8am,Low,Low,Low,Yes,Yes,Between 3 and 5,Moderate,Moderate,Moderate,Low,Low,Moderate,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News, Others","Youtube, Instagram, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,High,Yes,Yes,More than 5,High,High,High,High,High,Moderate,High,
14,Female,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,Movies,"Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational, Negative, Casual_scrolling",Others,Between 10pm and 12am,Between 8am and 10am,Low,Moderate,High,No,No,No spectacle,Moderate,Moderate,Moderate,High,High,High,High,
5,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Sports",Instagram,Less than 1 hour,Casual_scrolling,Puzzles,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,Yes,No,No spectacle,Low,Low,Moderate,Low,Low,Moderate,High,
12,Female,Secondary_section,No,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Casual_scrolling",Others,Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,
12,Male,Secondary_section,No,No,Less than 1 hour,"Movies, Sports","Youtube, Instagram",Less than 1 hour,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,Yes,Less than 1,Low,Low,Low,Low,Low,Low,Low,
7,Female,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies",Youtube,1 to 3 hours,Entertainment,Others,Before 10pm,Between 8am and 10am,Low,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
6,Male,Primary_section,No,Yes,More than 5 hours,"Cartoon, Movies","Youtube, Snapchat",1 to 3 hours,Entertainment,"Racing, Others",Between 10pm and 12am,After 10am,Moderate,Moderate,Moderate,No,No,No spectacle,Low,High,Low,Moderate,Moderate,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,More than 5 hours,"Movies, Sports, Others","Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing, Puzzles",After midnight 12am,After 10am,Low,High,High,Yes,No,No spectacle,High,High,High,High,High,High,High,
7,Female,Primary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Facebook, Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Before 10pm,Between 8am and 10am,High,Moderate,Moderate,Yes,Yes,Between 1 and 3,Moderate,High,Moderate,Low,Moderate,Moderate,High,
7,Male,Primary_section,No,No,Between 1 hour & 3 hours,Cartoon,"Youtube, Instagram",Less than 1 hour,"Entertainment, Educational","Puzzles, Others",Before 10pm,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
9,Female,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Others","Facebook, Youtube, Others",3 to 5 hours,"Entertainment, Casual_scrolling",Others,Between 10pm and 12am,After 10am,Low,High,High,Yes,No,No spectacle,High,High,High,High,High,Moderate,Moderate,
11,Male,Secondary_section,Yes,Yes,Less than 1 hour,Cartoon,"Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Racing, Others",Between 10pm and 12am,After 10am,Low,Moderate,Moderate,Yes,Yes,Between 3 and 5,Moderate,High,High,High,High,Moderate,Moderate,
13,Male,Higher_secondary_section,Yes,Yes,More than 5 hours,Cartoon,"Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Puzzles, Others",After midnight 12am,After 10am,Moderate,Moderate,Moderate,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
14,Female,Higher_secondary_section,No,No,Less than 1 hour,News,Youtube,1 to 3 hours,Educational,Puzzles,Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,Yes,Less than 1,Low,Low,Low,Low,Low,Low,Low,
8,Male,Primary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Others","Youtube, Instagram",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Puzzles",Between 10pm and 12am,After 10am,Moderate,Low,Low,Yes,Yes,Between 1 and 3,Low,Low,Low,Low,Low,Low,Low,
9,Female,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram",1 to 3 hours,"Entertainment, Educational",Others,Before 10pm,Between 8am and 10am,Low,Low,Low,No,Yes,Between 3 and 5,Low,Moderate,Low,Low,Low,Low,Low,
